
DECIMAL       HEXADECIMAL     DESCRIPTION
326573        0x4FBAD         Unix path: /../src/boot/sys/sys_main.c (likely false positive)
326706        0x4FC32         Unix path: /../src/os/os_thread.c (likely false positive)
326786        0x4FC82         Unix path: /../src/os/os_timer.c (likely false positive)
326902        0x4FCF6         Unix path: /../src/os/os_simpleq.c (likely false positive)
326925        0x4FD0D         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x7379, 774778670 blocks, 0x65726854 pages per block, 0x2e006461 bytes per page
327198        0x4FE1E         Unix path: /../src/app/network/nx_secure511_sp2/nx_secure_tls_process_record.c (likely false positive)
327428        0x4FF04         Intel x86 or x64 microcode, sig 0x00000004, pf_mask 0x05, 0DF7-01-01, rev 0x-79b779d6, size 16846327
327812        0x50084         Intel x86 or x64 microcode, sig 0x00000004, pf_mask 0x05, 0DF7-01-01, rev 0x-79b779d6, size 16846327
332080        0x51130         AES S-Box
332336        0x51230         AES Inverse S-Box
332604        0x5133C         DES SP1, big endian
332633        0x51359         Intel x86 or x64 microcode, sig 0x00040401, pf_mask 0x1040001, 0401-01-00, rev 0x1000400, size 262144
332660        0x51374         Intel x86 or x64 microcode, sig 0x00040001, pf_mask 0x40100, 0000-04-04, rev 0x4000000, size 257
332728        0x513B8         Intel x86 or x64 microcode, sig 0x04000000, pf_mask 0x01, 0101-04-04, rev 0x0100, size 262144
332752        0x513D0         Intel x86 or x64 microcode, sig 0x04000101, pf_mask 0x4000001, 0000-00-04, rev 0x0001, size 67108864
332756        0x513D4         Intel x86 or x64 microcode, sig 0x00000100, pf_mask 0x40000, 0101-04-00, rev 0x40000, size 67371009
332769        0x513E1         Intel x86 or x64 microcode, sig 0x00000400, pf_mask 0x1040401, 0000-00-04, rev 0x1000401, size 17039361
332860        0x5143C         DES SP2, big endian
333403        0x5165B         Intel x86 or x64 microcode, sig 0x20800000, pf_mask 0x800000, 0000-20-80, rev 0x20800000, size 1
333435        0x5167B         Intel x86 or x64 microcode, sig 0x20800000, pf_mask 0x20000000, 0000-00-80, rev 0x20000001, size 8388736
333451        0x5168B         Intel x86 or x64 microcode, sig 0x20000001, pf_mask 0x20000001, 0000-20-00, rev 0x800080, size 536871040
333611        0x5172B         Intel x86 or x64 microcode, sig 0x20800000, pf_mask 0x80200, 0000-20-00, rev 0x800080, size 524288
333730        0x517A2         Intel x86 or x64 microcode, sig 0x00020001, pf_mask 0x8000001, 0000-08-02, rev 0x420000, size 1
333762        0x517C2         Intel x86 or x64 microcode, sig 0x08020000, pf_mask 0x20001, 0000-00-40, rev 0x20001, size 138543104
333806        0x517EE         Intel x86 or x64 microcode, sig 0x08420000, pf_mask 0x8420000, 0000-08-42, rev 0x20001, size 2048
334662        0x51B46         Intel x86 or x64 microcode, sig 0x01000100, pf_mask 0x10000, 0000-01-00, rev 0x1000101, size 65537
334669        0x51B4D         Intel x86 or x64 microcode, sig 0x01010101, pf_mask 0x1000100, 0101-00-00, rev 0x10001, size 16777217
334684        0x51B5C         Intel x86 or x64 microcode, sig 0x01010001, pf_mask 0x10101, 0001-00-01, rev 0x1000001, size 2048
334715        0x51B7B         Intel x86 or x64 microcode, sig 0x00010100, pf_mask 0x1010000, 0000-00-01, rev 0x0100, size 2048
334720        0x51B80         Intel x86 or x64 microcode, sig 0x00010000, pf_mask 0x10101, 0101-00-00, rev 0x0100, size 16777217
